,accountAgeDays,numItems,localTime,paymentMethod,paymentMethodAgeDays,Category,isWeekend,label
0,29,1,4.745402,paypal,28.20486111,shopping,0.0,0
1,725,1,4.742303,storecredit,0.0,electronics,0.0,0
2,845,1,4.921318,creditcard,0.0,food,1.0,0
3,503,1,4.886641,creditcard,0.0,electronics,1.0,0
4,2000,1,5.040929,creditcard,0.0,shopping,0.0,0
5,119,1,4.962055,paypal,0.0,shopping,0.0,0
6,2000,1,4.921349,paypal,0.0,electronics,1.0,0
7,371,1,4.876771,creditcard,0.0,electronics,0.0,0
8,2000,1,4.748314,creditcard,0.0,electronics,0.0,0
9,4,1,4.461622,creditcard,0.0,shopping,1.0,0
10,26,1,4.745402,paypal,0.0,food,0.0,0
11,2000,1,4.505662,creditcard,0.000694444,food,0.0,0
12,3,1,4.962055,creditcard,2.690972222,electronics,0.0,0
13,3,1,4.921318,creditcard,2.069444444,food,0.0,0
14,23,1,4.745402,creditcard,0.001388889,shopping,1.0,0
15,5,1,4.921349,paypal,4.036111111,shopping,1.0,0
16,1208,1,4.836982,creditcard,0.000694444,electronics,1.0,0
17,11,1,4.921349,creditcard,10.86597222,shopping,1.0,0
18,123,1,4.748314,creditcard,0.000694444,electronics,0.0,0
19,2000,1,4.895263,creditcard,248.7743056,electronics,1.0,0
20,1672,1,5.034622,creditcard,978.7527778,shopping,0.0,0
21,36,1,4.742303,creditcard,0.014583333,shopping,0.0,0
22,16,1,4.886641,creditcard,15.79652778,electronics,0.0,0
23,278,1,5.034622,creditcard,6.892361111,shopping,1.0,0
24,223,1,4.748314,creditcard,0.0,food,1.0,0
25,30,1,4.057414,creditcard,0.0,electronics,1.0,0
26,2,1,4.921349,creditcard,0.0,shopping,0.0,0
27,2000,1,3.483951,creditcard,503.425,electronics,1.0,0
28,1936,1,4.057414,creditcard,635.6416667,shopping,1.0,0
29,2000,1,4.921318,creditcard,948.8069444,electronics,0.0,0
30,2,1,4.505662,creditcard,1.203472222,food,0.0,0
31,2000,1,4.836982,creditcard,0.001388889,food,1.0,0
32,998,1,4.921318,creditcard,0.0,shopping,0.0,0
33,914,1,4.461622,creditcard,0.005555556,food,1.0,0
